smid,addr_mb,cycles,group
36,56,263.02,near
37,56,262.99,near
38,56,263.59,near
39,56,263.60,near
40,56,315.74,far
41,56,315.75,far
42,56,308.79,far
43,56,308.78,far
44,56,318.40,far
45,56,318.43,far
46,56,316.13,far
47,56,316.11,far
48,56,271.91,near
49,56,271.94,near
50,56,269.07,near
51,56,269.12,near
52,56,273.99,near
53,56,273.96,near
54,56,274.57,near
55,56,274.55,near
56,56,296.63,far
57,56,296.60,far
58,56,291.97,far
59,56,292.00,far
60,56,296.62,far
61,56,296.63,far
62,56,291.98,far
63,56,291.98,far
64,56,259.01,near
65,56,258.98,near
66,56,263.85,near
67,56,263.84,near
68,56,264.44,near
69,56,264.44,near
70,56,304.15,far
71,56,304.16,far
72,56,298.37,far
73,56,298.39,far
74,56,302.97,far
75,56,302.99,far
76,56,299.53,far
77,56,299.54,far
78,56,252.14,near
79,56,252.16,near
80,56,257.00,near
81,56,257.01,near
82,56,257.60,near
83,56,257.59,near
84,56,309.79,far
85,56,309.79,far
86,56,302.82,far
87,56,302.81,far
88,56,313.46,far
89,56,313.46,far
90,56,311.14,far
91,56,311.13,far
92,56,264.12,near
93,56,264.10,near
94,56,268.98,near
95,56,268.99,near
96,56,269.56,near
97,56,269.58,near
98,56,291.61,far
99,56,291.62,far
100,56,286.98,far
101,56,286.95,far
102,56,291.62,far
103,56,291.63,far
104,56,287.00,far
105,56,287.01,far
106,56,254.00,near
107,56,253.95,near
108,56,258.83,near
109,56,258.85,near
110,56,259.42,near
111,56,259.42,near
112,56,299.12,far
113,56,299.13,far
114,56,293.32,far
115,56,293.30,far
116,56,297.98,far
117,56,298.00,far
118,56,294.55,far
119,56,294.53,far
120,56,307.43,far
121,56,307.43,far
122,56,305.11,far
123,56,305.14,far
124,56,254.80,near
125,56,254.76,near
126,56,258.93,near
127,56,258.95,near
128,56,266.94,near
129,56,266.95,near
130,56,253.95,near
131,56,253.96,near
